Time,Frequency (Hz),Level (dBµV/m),File Info
27:17.1,108000000,27.8,Meas. Unit: Samutprakan
27:17.1,108025000,14.5,"Longitude: 100°22'03.0""E"
27:17.1,108050000,16.9,"Latitude: 14°58'53.0""N"
27:17.1,108075000,24,Measurement Result Type: Measurement Result
27:17.1,108100000,32.5,Meas. Result Properties: 
27:17.1,108125000,32.5, Number of Measurements: 1770
27:17.1,108150000,31.9,Timing Definition:
27:17.1,108175000,22,Name: timing_00006
27:17.1,108200000,14.9,Date: 1/17/2018
27:17.1,108225000,15.1,Time: 5:27:14 PM
27:17.1,108250000,15.4,Measurement Definition:
27:17.1,108275000,16,Name: meas_00006
27:17.1,108300000,17.2,Date: 1/17/2018
27:17.1,108325000,15.4,Time: 5:27:15 PM
27:17.1,108350000,17.4,Measurement Type: Scan
27:17.1,108375000,15.2,Minimum Frequency: 108.000000 MHz
27:17.1,108400000,15,Maximum Frequency: 137.000000 MHz
27:17.1,108425000,14.2,Step Width: 25.000 kHz
27:17.1,108450000,16,Squelch: Off
27:17.1,108475000,15.9,Meas. Parameter: Level
27:17.1,108500000,16,Range Definition:
27:17.1,108525000,16.1,Name: range_00006
27:17.1,108550000,14.9,Date: 1/17/2018
27:17.1,108575000,15.5,Time: 5:27:15 PM
27:17.1,108600000,13.7,No. of Subranges: 1
27:17.1,108625000,16.4,Subrange 1:
27:17.1,108650000,14.9,Start Frequency: 9.000 kHz
27:17.1,108675000,15,Stop Frequency: 26.500000000 GHz
27:17.1,108700000,18.4,Device 1:
27:17.1,108725000,15.2,Name: ADD295
27:17.1,108750000,14,Azimuth: 4.000 deg
27:17.1,108775000,15.3,Polarization: vert.
27:17.1,108800000,14,Elevation: 25.000 deg
27:17.1,108825000,14.8,Height: 60.00 m
27:17.1,108850000,14.6,Device 2:
27:17.1,108875000,14.3,Name: DDF255
27:17.1,108900000,14.8,RF Attenuation: Auto
27:17.1,108925000,15.2,IF Attenuation: LowNoise
27:17.1,108950000,17.7,Demodulation: FM
27:17.1,108975000,17,Meas.Time: 4.000 ms
27:17.1,109000000,15.1,Detector: Average
27:17.1,109025000,15.4,
27:17.1,109050000,14,
27:17.1,109075000,15.5,
27:17.1,109100000,15,
27:17.1,109125000,14.2,
27:17.1,109150000,13.9,
27:17.1,109175000,14.7,
27:17.1,109200000,14.2,
27:17.1,109225000,14.2,
27:17.1,109250000,13.8,
27:17.1,109275000,14.9,
27:17.1,109300000,17.5,
27:17.1,109325000,15,
27:17.1,109350000,13.5,
27:17.1,109375000,13.4,
27:17.1,109400000,12.8,
27:17.1,109425000,15.6,
27:17.1,109450000,13.8,
27:17.1,109475000,13.6,
27:17.1,109500000,12.4,
27:17.1,109525000,14.8,
27:17.1,109550000,13.2,
27:17.1,109575000,13.7,
27:17.1,109600000,14.3,
27:17.1,109625000,14.2,
27:17.1,109650000,14.9,
27:17.1,109675000,13.7,
27:17.1,109700000,16.6,
27:17.1,109725000,14.4,
27:17.1,109750000,13.3,
27:17.1,109775000,14,
27:17.1,109800000,14.1,
27:17.1,109825000,16.1,
27:17.1,109850000,13.9,
27:17.1,109875000,14,
27:17.1,109900000,13,
27:17.1,109925000,14.6,
27:17.1,109950000,14.1,
27:17.1,109975000,14.2,
27:17.1,110000000,14.2,
27:17.1,110025000,14.2,
27:17.1,110050000,14.8,
27:17.1,110075000,16.2,
27:17.1,110100000,13.1,
27:17.1,110125000,14.3,
27:17.1,110150000,14.6,
27:17.1,110175000,15.6,
27:17.1,110200000,17.9,
27:17.1,110225000,16,
27:17.1,110250000,17.7,
27:17.1,110275000,18.3,
27:17.1,110300000,17,
27:17.1,110325000,18.6,
27:17.1,110350000,13.9,
27:17.1,110375000,15.6,
27:17.1,110400000,14.9,
27:17.1,110425000,14.8,
27:17.1,110450000,14.7,
27:17.1,110475000,13.7,
27:17.1,110500000,14.1,
27:17.1,110525000,13.6,
27:17.1,110550000,14.3,
27:17.1,110575000,18.4,
27:17.1,110600000,15,
27:17.1,110625000,14.2,
27:17.1,110650000,15.1,
27:17.1,110675000,16.3,
27:17.1,110700000,15.5,
27:17.1,110725000,17,
27:17.1,110750000,15.6,
27:17.1,110775000,22.4,
27:17.1,110800000,14.8,
27:17.1,110825000,16.6,
27:17.1,110850000,15.2,
27:17.1,110875000,15,
27:17.1,110900000,13.8,
27:17.1,110925000,13.7,
27:17.1,110950000,14.7,
27:17.1,110975000,14.9,
27:17.1,111000000,13.3,
27:17.1,111025000,14.3,
27:17.1,111050000,14.6,
27:17.1,111075000,14.9,
27:17.1,111100000,14.6,
27:17.1,111125000,13.7,
27:17.1,111150000,14.2,
27:17.1,111175000,14.7,
27:17.1,111200000,14.1,
27:17.1,111225000,14.9,
27:17.1,111250000,15.4,
27:17.1,111275000,14.3,
27:17.1,111300000,14.3,
27:17.1,111325000,13.7,
27:17.1,111350000,13.8,
27:17.1,111375000,14.8,
27:17.1,111400000,13.9,
27:17.1,111425000,14,
27:17.1,111450000,15,
27:17.1,111475000,15.4,
27:17.1,111500000,14.1,
27:17.1,111525000,13.9,
27:17.1,111550000,16.1,
27:17.1,111575000,14.1,
27:17.1,111600000,13.3,
27:17.1,111625000,13.8,
27:17.1,111650000,14.1,
27:17.1,111675000,16.5,
27:17.1,111700000,14.5,
27:17.1,111725000,13.9,
27:17.1,111750000,13.5,
27:17.1,111775000,15.4,
27:17.1,111800000,16.3,
27:17.1,111825000,14.9,
27:17.1,111850000,14.6,
27:17.1,111875000,14,
27:17.1,111900000,14.9,
27:17.1,111925000,15.6,
27:17.1,111950000,13.6,
27:17.1,111975000,13.9,
27:17.1,112000000,13.5,
27:17.1,112025000,15.1,
27:17.1,112050000,14.3,
27:17.1,112075000,14.6,
27:17.1,112100000,13.1,
27:17.1,112125000,14.4,
27:17.1,112150000,16.1,
27:17.1,112175000,13.6,
27:17.1,112200000,13.3,
27:17.1,112225000,13.7,
27:17.1,112250000,15.6,
27:17.1,112275000,13.5,
27:17.1,112300000,13.4,
27:17.1,112325000,14.9,
27:17.1,112350000,14,
27:17.1,112375000,15,
27:17.1,112400000,14.4,
27:17.1,112425000,14.9,
27:17.1,112450000,16.9,
27:17.1,112475000,15.3,
27:17.1,112500000,18.6,
27:17.1,112525000,16.1,
27:17.1,112550000,15.3,
27:17.1,112575000,14,
27:17.1,112600000,14.4,
27:17.1,112625000,13.5,
27:17.1,112650000,17.1,
27:17.1,112675000,15.8,
27:17.1,112700000,16.8,
27:17.1,112725000,19.5,
27:17.1,112750000,20.9,
27:17.1,112775000,19.5,
27:17.1,112800000,17.9,
27:17.1,112825000,15.5,
27:17.1,112850000,18.6,
27:17.1,112875000,14,
27:17.1,112900000,12.7,
27:17.1,112925000,14.6,
27:17.1,112950000,14.5,
27:17.1,112975000,14.7,
27:17.1,113000000,12.6,
27:17.1,113025000,13.2,
27:17.1,113050000,14.7,
27:17.1,113075000,15,
27:17.1,113100000,14.8,
27:17.1,113125000,15,
27:17.1,113150000,12.9,
27:17.1,113175000,14.1,
27:17.1,113200000,16.4,
27:17.1,113225000,13.9,
27:17.1,113250000,14.5,
27:17.1,113275000,13.6,
27:17.1,113300000,13.3,
27:17.1,113325000,17.5,
27:17.1,113350000,13.4,
27:17.1,113375000,12.7,
27:17.1,113400000,13.3,
27:17.1,113425000,18.4,
27:17.1,113450000,14.6,
27:17.1,113475000,13.7,
27:17.1,113500000,13,
27:17.1,113525000,13.7,
27:17.1,113550000,16.1,
27:17.1,113575000,14,
27:17.1,113600000,12.7,
27:17.1,113625000,14.2,
27:17.1,113650000,14.1,
27:17.1,113675000,12.4,
27:17.1,113700000,13.6,
