Packet	Date	Frequency	Equiv.FieldStrength	Service	Min.Freq	Max.Freq	Correc.
		MHz	V/m	MHz	MHz

DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8350000000E+003	1.9645869379E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8352016129E+003	1.9978530165E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8354032258E+003	3.3950789955E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8356048387E+003	3.5221117816E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8358064516E+003	2.6683853993E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8360080645E+003	2.0809125127E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8362096774E+003	2.1356512031E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8364112903E+003	2.3663434682E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8366129032E+003	5.2886763944E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8368145161E+003	19.202398018E-3	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8370161290E+003	20.724930057E-3	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8372177419E+003	2.5908347222E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8374193548E+003	3.0405577641E-003	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:37 AM	1.8376209677E+003	57.887254738E-3	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
DTAC_LTE_1800	12/7/2017 11:18:34 AM	1.8378225806E+003	62.216952786E-3	DTAC_LTE_1800	1.8350000000E+003	1.8600000000E+003	1.8779342723E+000
AWN_IMT_2100	12/7/2017 11:18:38 AM	2.1400000000E+003	2.6566288141E-003	AWN_IMT_2100	2.1400000000E+003	2.1550000000E+003	1.1267605634E+000
