frequency,signal
88000000,-92.925362
88024408,-92.961731
88048816,-97.167709
88073224,-104.418961
88097632,-111.590851
88122040,-115.336258
88146448,-117.106895
88170856,-118.835327
88195264,-107.512047
88219672,-94.495308
88244080,-90.255493
88268488,-94.744232
88292896,-112.556244
88317304,-115.346161
88341712,-117.334633
88366120,-127.756210
88390528,-124.930977
88414936,-117.847198
88439344,-114.688377
88463752,-114.912521
88488160,-117.427933
88512568,-129.820221
88536976,-116.478813
88561384,-112.157234
88585792,-110.201439
88610200,-110.825981
88634608,-112.416954
88659016,-116.391396
88683424,-121.571899
88707832,-101.103645
88732240,-92.847176
88756648,-93.930305
88781056,-105.988388
88805464,-115.267296
88829872,-121.570251
88854280,-122.308952
88878688,-118.046631
88903096,-119.807838
88927504,-117.088501
88951912,-103.068954
88976320,-98.960342
89000728,-103.875580
89025136,-114.399689
89049544,-117.947098
89073952,-116.325180
89098360,-116.062790
89122768,-114.141953
89147176,-113.758080
89171584,-116.618988
89195992,-114.661568
89220400,-106.619194
89244808,-109.745979
89269216,-117.988426
89293624,-117.832878
89318032,-119.213867
89342440,-124.790237
89366848,-123.366188
89391256,-105.246231
89415664,-92.854401
89440072,-83.136925
89464480,-79.829498
89488888,-85.167587
89513296,-101.745796
89537704,-108.902023
89562112,-117.228462
89586520,-113.178802
89610928,-119.834641
89635336,-115.164551
89659744,-119.143356
89684152,-120.780869
89708560,-119.270790
89732968,-120.522446
89757376,-119.563782
89781784,-119.197510
89806192,-124.527832
89830600,-130.086945
89855008,-134.579208
89879416,-117.678238
89903824,-106.748306
89928232,-99.688026
89952640,-96.211266
89977048,-97.606094
90001456,-107.352257
90025864,-104.644142
90050272,-107.723145
90074680,-111.916740
90099088,-123.198418
90123496,-115.151146
90147904,-118.265137
90172312,-120.634308
90196720,-109.102943
90221128,-92.777191
90245536,-87.245453
90269944,-91.224609
90294352,-114.356728
90318760,-111.480270
90343168,-118.007492
90367576,-114.783928
90391984,-113.400742
90416392,-118.331490
90440800,-116.900314
90465208,-101.483032
90489616,-96.189949
90514024,-99.534203
90538432,-115.646118
90562840,-114.962433
90587248,-116.817535
90611656,-116.566017
90636064,-122.814323
90660472,-120.460922
90684880,-112.629372
90709288,-110.289055
90733696,-111.415375
90758104,-114.726234
90782512,-120.210793
90806920,-129.697998
90831328,-119.165688
90855736,-111.819313
90880144,-110.891022
90904552,-113.709976
90928960,-114.167397
90953368,-97.616287
90977776,-86.801674
91002184,-85.517273
91026592,-93.002274
91051000,-108.261879
91075408,-112.859665
91099816,-112.013367
91124224,-111.381386
91148632,-112.365532
91173040,-113.334404
91197448,-115.665878
91221856,-108.622742
91246264,-108.592140
91270672,-114.234215
91295080,-115.436707
91319488,-113.126884
91343896,-113.781807
91368304,-113.994019
91392712,-113.621284
91417120,-108.463837
91441528,-100.317398
91465936,-94.103012
91490344,-90.042572
91514752,-92.463379
91539160,-115.208374
91563568,-106.198875
91587976,-115.105713
91612384,-115.237267
91636792,-118.210518
91661200,-115.548866
91685608,-119.891357
91710016,-113.382553
91734424,-106.041504
91758832,-107.780220
91783240,-114.053833
91807648,-113.270264
91832056,-117.472336
91856464,-141.175018
91880872,-120.905838
91905280,-118.876785
91929688,-119.760712
91954096,-122.158028
91978504,-126.382591
92002912,-107.041229
92027320,-102.300201
92051728,-107.790977
92076136,-114.651070
92100544,-114.163757
92124952,-113.933868
92149360,-113.006561
92173768,-112.897743
92198176,-113.710403
92222584,-116.296165
92246992,-110.238655
92271400,-113.943100
92295808,-116.034225
92320216,-116.718399
92344624,-125.978760
92369032,-115.622025
92393440,-115.389740
92417848,-123.192520
92442256,-107.070107
92466664,-92.818428
92491072,-80.334290
92515480,-75.768646
92539888,-79.597282
92564296,-91.648621
92588704,-106.913727
92613112,-121.943542
92637520,-123.230400
92661928,-121.674873
92686336,-117.751129
92710744,-108.137222
92735152,-101.808289
92759560,-101.397781
92783968,-107.084793
92808376,-124.946312
92832784,-116.617569
92857192,-112.345093
92881600,-112.209961
92906008,-110.930389
92930416,-101.773338
92954824,-96.775696
92979232,-95.092957
93003640,-96.861832
93028048,-100.717606
93052456,-99.063156
93076864,-105.964546
93101272,-110.302864
93125680,-109.651886
93150088,-111.691177
93174496,-114.990463
93198904,-116.498535
93223312,-107.069809
93247720,-105.075363
93272128,-112.168953
93296536,-104.855476
93320944,-108.725235
93345352,-108.418777
93369760,-109.237640
93394168,-112.992477
93418576,-107.695869
93442984,-86.879768
93467392,-77.262329
93491800,-76.742157
93516208,-85.091454
93540616,-104.173172
93565024,-108.633553
93589432,-111.706390
93613840,-112.008987
93638248,-113.114548
93662656,-113.668861
93687064,-111.573380
93711472,-99.548485
93735880,-98.254860
93760288,-106.430679
93784696,-109.907822
93809104,-109.316864
93833512,-112.415222
93857920,-120.100090
93882328,-120.789490
93906736,-121.200356
93931144,-99.838470
93955552,-95.565567
93979960,-92.137413
94004368,-92.448227
94028776,-98.883606
94053184,-102.644760
94077592,-116.355057
94102000,-129.778076
94126408,-115.295883
94150816,-110.858986
94175224,-113.637939
94199632,-112.971947
94224040,-122.523315
94248448,-117.449402
94272856,-114.184898
94297264,-113.108978
94321672,-109.025955
94346080,-108.822128
94370488,-115.111786
94394896,-124.192398
94419304,-119.212654
94443712,-111.101021
94468120,-106.369125
94492528,-95.637650
94516936,-86.910500
94541344,-86.613495
94565752,-96.566856
94590160,-119.003471
94614568,-115.970215
94638976,-130.936630
94663384,-118.646271
94687792,-114.758499
94712200,-100.373528
94736608,-95.630127
94761016,-98.428452
94785424,-107.198914
94809832,-125.106941
94834240,-110.580841
94858648,-109.187447
94883056,-129.767517
94907464,-105.394501
94931872,-108.420082
94956280,-83.633904
94980688,-75.794960
95005096,-76.661530
95029504,-75.651741
95053912,-79.080894
95078320,-91.978256
95102728,-105.347221
95127136,-113.443947
95151544,-114.809479
95175952,-124.380424
95200360,-111.910439
95224768,-88.659531
95249176,-83.293961
95273584,-87.144981
95297992,-100.644363
95322400,-114.674644
95346808,-111.536224
95371216,-114.683044
95395624,-121.053825
95420032,-116.773003
95444440,-109.008362
95468848,-96.259880
95493256,-84.399605
95517664,-75.781036
95542072,-71.228622
95566480,-74.197723
95590888,-84.802673
95615296,-91.209198
95639704,-103.948952
95664112,-110.633591
95688520,-118.808975
95712928,-102.859810
95737336,-94.472229
95761744,-93.186592
95786152,-99.841141
95810560,-106.736084
95834968,-108.862968
95859376,-108.577583
95883784,-107.940689
95908192,-110.886261
95932600,-110.717438
95957008,-98.073792
95981416,-76.809799
96005824,-70.960907
96030232,-74.185867
96054640,-86.724152
96079048,-104.729950
96103456,-108.638992
96127864,-110.207077
96152272,-113.175232
96176680,-110.340416
96201088,-106.722382
96225496,-100.985939
96249904,-96.540085
96274312,-95.855774
96298720,-101.060913
96323128,-106.293167
96347536,-104.047821
96371944,-102.223862
96396352,-95.873024
96420760,-85.982277
96445168,-85.639503
96469576,-78.426712
96493984,-76.857269
96518392,-79.994423
96542800,-85.619019
96567208,-93.619415
96591616,-105.174179
96616024,-113.579453
96640432,-115.482178
96664840,-119.522263
96689248,-132.367859
96713656,-120.385002
96738064,-123.582909
96762472,-113.818344
96786880,-110.548683
96811288,-113.961128
96835696,-117.223297
96860104,-120.508896
96884512,-132.782639
96908920,-130.522537
96933328,-117.239700
96957736,-122.838654
96982144,-94.663422
97006552,-79.519974
97030960,-75.574722
97055368,-80.702545
97079776,-97.596504
97104184,-116.350441
97128592,-111.621140
97153000,-117.849213
97177408,-122.329544
97201816,-114.390289
97226224,-108.786797
97250632,-105.211281
97275040,-101.534813
97299448,-104.846298
97323856,-118.780533
97348264,-118.403381
97372672,-120.372665
97397080,-118.244797
97421488,-119.446198
97445896,-120.038773
97470304,-105.053680
97494712,-83.166779
97519120,-76.608360
97543528,-79.211441
97567936,-90.856750
97592344,-106.437531
97616752,-104.839218
97641160,-101.822327
97665568,-96.262772
97689976,-89.083527
97714384,-90.671761
97738792,-95.033737
97763200,-99.328857
97787608,-107.313004
97812016,-113.559906
97836424,-108.320724
97860832,-109.410667
97885240,-114.359428
97909648,-121.614113
97934056,-113.993217
97958464,-105.106133
97982872,-100.835335
98007280,-102.515274
98031688,-108.801521
98056096,-116.154579
98080504,-122.176079
98104912,-127.747368
98129320,-121.706825
98153728,-119.360771
98178136,-135.445938
98202544,-99.152969
98226952,-89.930908
98251360,-90.254807
98275768,-100.232742
98300176,-114.101898
98324584,-120.529686
98348992,-112.576996
98373400,-115.784607
98397808,-117.062088
98422216,-119.685577
98446624,-114.097595
98471032,-108.523590
98495440,-88.453156
98519848,-79.249741
98544256,-77.806198
98568664,-84.980362
98593072,-103.857925
98617480,-105.342323
98641888,-108.988434
98666296,-106.120018
98690704,-106.759117
98715112,-111.749039
98739520,-114.558716
98763928,-106.543190
98788336,-108.429901
98812744,-113.693398
98837152,-118.370491
98861560,-120.386391
98885968,-114.194534
98910376,-116.563606
98934784,-96.497566
98959192,-80.892899
98983600,-75.731201
99008008,-79.426308
99032416,-94.875282
99056824,-117.065857
99081232,-115.893364
99105640,-115.862221
99130048,-114.661469
99154456,-109.792648
99178864,-110.854942
99203272,-90.016022
99227680,-82.127815
99252088,-82.431061
99276496,-91.569962
99300904,-105.074265
99325312,-116.605927
99349720,-109.642059
99374128,-109.456070
99398536,-111.078827
99422944,-111.402985
99447352,-113.754272
99471760,-102.670044
99496168,-90.477493
99520576,-89.047852
99544984,-96.649200
99569392,-107.272537
99593800,-111.260010
99618208,-122.927177
99642616,-115.339951
99667024,-112.063232
99691432,-114.343529
99715840,-99.084717
99740248,-98.563599
99764656,-75.885056
99789064,-71.052994
99813472,-75.169510
99837880,-86.647713
99862288,-100.481827
99886696,-114.059029
99911104,-112.841797
99935512,-106.325378
99959920,-97.806702
99984328,-84.854492
100008736,-81.622116
100033144,-87.533089
100057552,-105.003632
100081960,-120.787628
100106368,-115.211411
100130776,-113.816849
100155184,-119.681122
100179592,-122.131210
100204000,-104.315063
100228408,-89.752266
100252816,-86.522095
100277224,-92.191292
100301632,-107.554230
100326040,-113.407639
100350448,-116.069611
100374856,-115.060524
100399264,-114.703857
100423672,-110.528732
100448080,-95.307152
100472488,-90.606346
100496896,-77.180328
100521304,-73.004585
